idUsuario	idProducto	tiempo	compro	idSiguienteProducto
8018	12615	171	true	10987
8119	12615	471	false	12547
8689	12615	255	false	11784
9175	12615	154	false	13266
10001	12615	284	true	10392
10939	12615	103	false	10326
11766	12615	42	false	10204
12020	12615	385	false	12350
12183	12615	338	false	10603
12206	12615	483	true	10269
13108	12615	34	false	10595
13507	12615	77	false	13554
13915	12615	128	false	13527
14353	12615	497	false	14876
14891	12615	2	true	12557
15568	12615	123	false	14615
16285	12615	401	false	13087
16667	12615	302	false	14781
17638	12615	202	false	10810
17725	12615	223	false	12505
