idProducto	tiempo
10026	446.0
10038	322.0
10069	257.0
10082	159.0
10120	340.0
10128	406.0
10185	130.0
10192	452.0
10219	475.0
10278	376.0
10302	59.0
10307	36.0
10598	121.0
10611	324.0
10640	393.0
10643	217.0
10727	196.0
10772	380.0
10778	352.0
10810	203.0
10862	89.0
10995	21.0
11016	419.0
11038	220.0
11089	320.0
11112	148.0
11120	45.0
11195	236.0
11237	345.0
11246	314.0
11305	320.0
11306	51.0
11387	70.0
11388	77.0
11402	241.0
11473	382.0
11494	13.0
11502	110.0
11562	53.0
11602	37.0
11633	259.0
11702	170.0
11714	337.0
11726	279.0
11736	38.0
11770	295.0
11815	52.0
11838	237.0
11848	52.0
11849	306.0
11870	306.0
11892	147.0
11916	33.0
11941	328.0
11950	495.0
11952	473.0
11960	303.0
11962	90.0
11978	407.0
12006	458.0
12147	269.0
12170	168.0
12192	279.0
12219	308.0
12230	314.0
12238	366.0
12264	172.0
12281	282.0
12320	247.0
12329	241.0
12375	168.0
12388	369.0
12433	311.0
12447	408.0
12485	431.0
12589	312.0
12594	357.0
12606	413.0
12615	3671.0
12640	462.0
12653	106.0
12670	262.0
12694	34.0
12793	293.0
12797	380.0
12813	15.0
12838	195.0
12853	222.0
12872	14.0
12875	91.0
12877	364.0
12903	261.0
12905	483.0
12912	54.0
12918	134.0
12922	33.0
12933	430.0
12955	78.0
12998	428.0
13057	474.0
13106	303.0
13143	189.0
13152	354.0
13183	309.0
13216	215.0
13221	413.0
13245	50.0
13292	224.0
13326	417.0
13429	120.0
13430	147.0
13465	215.0
13589	239.0
13600	221.0
13645	439.0
13650	106.0
13659	59.0
13742	189.0
13749	63.0
13769	93.0
13785	248.0
13919	356.0
14074	280.0
14084	252.0
14100	304.0
14107	100.0
14112	209.0
14138	485.0
14158	366.0
14159	333.0
14162	21.0
14192	24.0
14227	175.0
14246	371.0
14254	470.0
14369	122.0
14482	233.0
14520	269.0
14521	103.0
14549	402.0
14575	498.0
14734	284.0
14757	120.0
14813	23.0
14820	78.0
14893	436.0
14927	154.0
14936	454.0
14964	150.0
14967	108.0
