idUsuario	idProducto	tiempo	compro	idSiguienteProducto
14434	12615	435	False	12451
13465	11729	307	False	10945
10782	14495	120	False	13189
17818	13457	293	False	10250
8170	13877	356	False	14626
17672	10413	15	False	12619
14168	12121	17	False	14620
12288	14873	401	False	10839
10410	13280	124	False	11543
16760	11435	392	False	10749
16248	13763	38	False	13897
16681	14060	304	False	12615
12638	11586	10	True	12861
16539	14330	369	False	11045
8071	14448	131	True	14046
11610	12644	75	False	10245
14801	11493	422	False	13495
16643	11748	71	False	10279
14169	11838	152	False	13521
17239	13183	103	False	12274
8100	12748	75	False	10713
17354	12461	24	True	12091
11392	13310	327	False	14215
9651	12367	288	False	13540
13043	13629	8	False	12961
14396	12937	229	False	14427
15244	11623	81	False	10194
9305	10744	435	False	13818
11720	11508	29	False	13583
17550	13574	426	False	12695
12505	10305	431	False	14753
10843	12669	286	False	12516
11480	10172	363	False	13470
8145	12505	77	False	13562
8162	13027	138	False	11679
10025	13346	357	False	13186
17248	13680	250	False	12174
14634	12319	440	False	13773
13969	12887	243	False	12078
11376	12882	430	False	13511
12538	12808	220	False	12613
16452	13932	141	False	13740
14151	14107	355	False	12892
14120	12680	471	False	10152
13507	13106	303	False	10577
12389	10604	239	False	14992
14261	14056	52	False	10916
11632	11482	126	False	12948
16770	10914	468	False	10697
15756	14339	369	False	14018
16016	13174	48	False	10757
16326	14787	392	True	10419
15243	11548	59	False	10609
16040	13592	276	False	11075
11156	11424	341	False	10767
11679	13433	402	False	11699
13712	11915	129	False	10984
17913	13584	262	True	11753
12058	12569	60	False	14327
13674	10330	494	False	11678
8571	11587	88	True	12440
13168	14772	461	False	13918
9460	10771	133	False	12563
11412	10261	379	False	10652
8872	10973	272	False	14047
16018	10826	252	False	12931
11018	13494	63	False	11413
10537	11041	127	False	13400
8370	13982	50	False	11023
10516	11245	164	False	12621
13151	11549	119	False	11242
16626	13877	482	False	13431
11514	12255	306	False	12408
12473	10150	42	False	11294
9328	13998	442	True	10467
10908	10481	159	True	12789
13528	14189	420	False	10355
17921	12304	288	False	12101
12784	11230	29	False	11643
