idUsuario	idProducto	tiempo	compro	idSiguienteProducto
8000	14606	197	false	14756
8000	11966	497	false	10542
8000	10611	392	false	11719
8000	10045	385	false	13590
8000	10127	317	false	10427
8000	10763	433	false	10983
8000	13333	438	false	13958
8001	11757	368	false	14281
8001	14741	496	false	10282
8001	14141	140	false	10638
8001	13964	30	false	14107
8002	14772	474	false	10519
8002	12761	317	false	14374
8002	13409	253	false	13561
8002	12741	139	true	14304
8002	13660	208	false	13269
8002	13119	135	false	10799
8002	12146	359	false	13598
8002	10653	438	false	12656
8002	14599	173	false	10594
8002	12597	332	true	11858
8002	10859	30	false	13687
8002	13100	145	false	11214
8002	11713	6	false	13480
8002	11462	490	false	13302
8003	10141	154	false	12400
8003	12855	464	false	12729
8003	11758	77	false	14368
8003	10817	363	false	10262
8003	11665	333	false	14630
8003	10879	359	false	11688
8004	13847	88	false	11672
8004	13183	418	false	14324
8004	12895	404	false	12702
8004	10576	177	false	11555
8004	13657	372	false	14065
8004	11789	261	false	12069
8004	12982	123	false	11257
8004	11708	48	false	12307
8004	14605	269	true	11334
8004	11057	225	false	13866
8004	10192	292	false	13090
8005	13463	471	false	12151
8005	13334	308	false	14730
8005	13160	407	true	12199
8005	12064	463	false	12279
8005	12904	440	false	12692
8005	14578	473	true	13976
8005	11075	460	false	12154
8005	12343	134	true	14917
8005	12121	402	false	10171
8005	10507	54	false	11531
8005	10763	206	true	10036
8006	12224	20	true	11771
8006	14373	12	false	14271
8006	11855	138	false	14099
8006	13549	6	false	10394
8006	13667	24	true	13877
8006	14722	471	false	11103
8006	10647	99	false	13341
8006	10246	198	true	11667
8006	10161	472	true	14732
8006	14301	223	false	14876
8007	11453	38	false	14568
8007	14335	282	false	11334
8007	14421	344	false	14853
8007	14869	480	true	12038
8007	14687	141	true	14119
8007	13443	68	false	12607
8007	13396	335	false	12207
8007	11187	170	false	10413
8007	13521	218	true	12417
8007	14995	6	false	13776
8007	11597	391	false	10480
8008	11240	183	false	13871
8008	14058	52	false	12316
8008	12294	340	false	13418
8008	11478	328	false	13399
8008	10113	263	false	13675
8008	13123	42	true	13026
8008	11302	39	false	14840
8008	13955	216	true	13119
8008	14363	247	false	13561
8008	14968	55	true	14043
8008	13791	154	true	14273
8008	14636	369	false	11947
8008	10258	184	false	11384
8008	14813	371	false	13589
8009	14259	472	true	12246
8009	14876	318	false	11520
8009	12597	159	false	10234
8009	13572	132	false	10510
8009	10161	445	false	10326
8009	10585	179	false	14054
8009	13635	42	false	12107
8009	13349	473	false	10110
8009	13385	29	false	11840
8009	11125	31	false	11366
8009	13644	288	false	10290
8009	14449	306	true	13953
8009	10483	123	false	11458
8009	14736	453	false	14381
8010	10301	394	false	12447
8010	13566	176	false	11987
8010	11863	431	false	12038
8010	11490	13	false	14174
8010	11564	134	false	11918
8010	13997	148	false	14483
8010	14686	362	false	10159
8010	13703	357	false	12945
8010	14967	284	false	11375
8010	13454	263	false	13692
8011	12777	74	false	10884
8011	13811	482	false	11468
8011	11128	37	false	14301
8011	12926	368	false	13595
8011	14057	194	false	10739
8011	14761	251	false	10830
8011	12747	357	false	14475
8011	10855	419	false	11614
8011	13961	38	false	14742
8011	13202	207	false	12546
8012	12643	269	false	13391
8012	11168	241	false	13602
8012	11481	226	false	11385
8012	13599	319	false	11373
8012	13357	131	false	11016
8012	10032	444	false	13741
8012	12851	407	false	10482
8012	14880	420	false	10022
8013	14272	211	false	10483
8013	14645	254	false	13345
8013	10069	90	true	10563
8013	12177	15	false	14237
8013	14932	214	false	12155
8013	11798	387	false	11034
8013	11006	205	false	13236
8013	12899	362	true	14923
8013	10862	496	false	12396
8013	14077	82	false	12451
8014	13295	266	false	11028
8014	10733	431	false	10179
8014	12719	68	false	13157
8014	14932	178	false	10714
8014	14599	164	true	14375
8014	11339	328	false	10022
8014	11029	439	false	13800
8014	12413	251	true	12410
8014	10049	296	true	10954
8014	13799	25	false	11240
8015	11419	124	false	14443
8015	11010	498	false	10035
8015	12579	173	false	13221
8015	10098	302	false	12987
8015	11407	432	false	14913
8015	12978	488	false	12391
8015	13779	214	false	10087
8015	13923	439	false	12843
8015	10380	424	false	14762
8016	11133	61	false	13196
8016	11833	99	false	12358
8016	10427	447	false	10307
8016	11933	199	false	13995
8016	13986	478	false	14862
8016	12622	190	false	10865
8016	11284	130	false	12449
8016	13064	103	false	10282
8016	10327	402	false	13656
8016	10269	270	false	14601
8016	11129	500	false	14283
8016	12962	10	false	10275
8017	14415	199	false	13203
8017	10426	13	false	11245
8017	11364	337	true	11679
8017	10491	382	false	12802
8017	14106	3	false	14147
8017	11255	167	false	14299
8017	10171	64	false	14721
8017	14630	444	false	13475
8017	10847	364	false	13181
8017	13594	3	false	12580
8018	10120	340	false	13852
8018	14227	175	false	13439
8018	13650	106	false	11947
8018	14107	100	false	14432
8018	14100	304	false	12137
8018	12797	380	false	10401
8018	12615	171	true	10987
8018	10219	475	false	13722
8018	12615	171	true	10987
8018	14158	366	true	13979
8018	13245	50	false	11212
8018	12838	195	false	10119
8019	12641	39	true	11882
8019	10306	419	false	13502
8019	10573	121	false	13247
8019	10651	419	false	11052
8019	11377	128	false	12812
8019	14007	376	false	13060
8019	10297	479	false	11857
8019	10029	403	true	14581
8019	12805	68	true	11775
8020	11682	464	false	11039
8020	13112	491	false	11509
8020	13636	453	true	14794
8020	14695	346	false	13236
8020	13056	289	false	13960
8020	14642	274	false	13686
8020	13278	119	false	11535
8020	11322	180	false	14596
8021	12944	434	true	14368
8021	11935	223	false	13710
8021	11220	53	false	11000
8021	10804	88	false	11836
8021	10732	149	true	10129
8021	11153	470	false	13532
8021	10107	192	true	13236
8021	12628	395	false	10527
8021	12357	42	false	10741
8021	11583	364	false	11381
8021	14985	87	false	10442
8021	13385	141	false	13031
8021	12741	51	false	12687
8021	14828	367	true	10394
8021	12199	409	false	11630
8022	11890	169	false	11090
8022	14436	27	false	12343
8022	14837	442	true	11284
