idEmpleado	idDepartamento	ventas	importe	
18344	3	14	478.027725330567	
24645	9	37	1184.12419895834	
13382	3	44	1410.59061518432	
14195	9	31	1014.03263806088	
15985	3	49	1561.98681371379	
25509	6	10	364.636100514157	
18314	4	34	1087.48207467025	
15031	2	17	586.989659865848	
22713	7	25	823.638668667357	
13447	7	2	111.902799919202	
16501	3	37	1196.48930165753	
21049	9	27	888.438082862849	
24617	7	39	1255.68251962572	
24888	8	5	218.983727385748	
29012	5	35	1125.7694236216	
29461	6	50	1569.9997640634	
25946	9	27	884.111740628309	
13762	2	47	1500.16665971846	
27520	6	49	1553.85139608469	
10540	3	50	1574.66162788433	
16291	7	15	510.264883912292	
23582	3	44	1401.88346015377	
28277	5	47	1489.08654330721	
29999	10	7	279.551352914214	
28210	4	1	98.8087265653576	
27400	1	4	172.443257762326	
21948	6	45	1446.32941894528	
24440	1	6	246.001312735491	
11076	5	46	1461.58904270343	
27651	3	5	224.21031142781	
28635	4	29	940.619338443791	
13129	6	8	300.394499777069	
15313	3	25	814.926125116146	
19545	7	17	574.23521619953	
20100	8	2	112.085728623013	
25324	5	29	940.882124556639	
29680	5	42	1339.93214844723	
13951	2	42	1331.04579767727	
23912	9	12	442.543512006543	
16122	5	40	1270.53695961392	
19906	8	10	361.416038629327	
11105	1	10	355.492405945199	
23328	9	48	1533.82940866697	
11636	5	21	710.085948812815	
17818	8	19	645.569311979026	
12559	5	14	502.303655008927	
21589	2	38	1212.60371480724	
12508	4	11	388.790468903627	
8196	7	49	1563.33673546246	
25211	6	12	426.686441948026	
25197	7	46	1463.56437047178	
19145	5	16	551.549116704403	
11558	5	16	549.928715000827	
20765	3	43	1365.66078380014	
9113	3	39	1236.30074763498	
8581	5	20	676.144265176796	
26129	9	40	1295.03765565112	
19158	5	38	1211.03926227011	
8413	5	31	995.223911495518	
28385	5	46	1469.54355595146	
22110	10	15	518.306681568877	
26068	2	28	921.480761934761	
28760	7	22	725.400617162418	
16859	10	20	679.428357239546	
12296	5	23	771.283461475411	
21063	10	30	976.094801880463	
9301	5	3	153.511957746703	
11740	10	23	761.447303426195	
25725	2	4	186.897998762735	
21718	1	7	264.88729906496	
24792	4	8	310.067615616167	
18856	6	36	1153.06594295104	
29868	7	35	1137.62314771191	
28794	5	10	363.31443647077	
27691	4	40	1293.245589255	
8385	6	6	234.772477967093	
28673	4	46	1468.0540514868	
12707	7	26	859.000594494399	
26549	8	38	1233.98204093519	
19730	1	37	1196.50507155643	
10318	2	16	559.839542955085	
25639	9	35	1137.53895004165	
22356	10	7	282.66457727303	
17079	7	35	1114.9026007554	
18748	6	10	360.645940956029	
19655	5	13	469.070221739388	
28588	4	42	1350.46578477624	
23209	9	32	1049.26534131601	
11566	1	29	937.934468564547	
27234	8	32	1035.94146344622	
11215	7	39	1245.84446890552	
20526	4	5	208.892886177121	
12913	5	12	415.821886181748	
8633	8	17	572.999956055079	
27463	4	25	832.230278045046	
10123	1	32	1039.93527669457	
24603	4	38	1230.09178878278	
27772	5	29	934.401051427424	
22717	4	48	1538.8024873374	
18853	9	40	1269.47451009856	
17595	3	12	428.791697262224	
15318	10	15	531.156411381046	
29255	7	7	281.892470140891	
10832	10	43	1378.4494363975	
12203	4	4	196.618826331859	
9840	4	11	390.498427520738	
22336	3	31	1013.92596899249	
28588	4	7	266.614278530057	
11950	5	3	152.415194545135	
17705	8	33	1081.52826966789	
24293	3	24	808.090213689995	
18104	3	15	516.037061156722	
23967	10	50	1577.05722133492	
8303	10	44	1398.71883993909	
25516	4	30	989.704012996379	
27124	3	30	980.767731527224	
8319	4	22	718.816184661731	
8405	4	38	1210.49801640701	
8706	1	11	398.782416283517	
18943	2	10	382.213239736023	
22273	5	38	1225.62901710422	
28629	9	21	704.246616430695	
12389	5	45	1423.51283486165	
28431	3	23	750.956535316518	
24744	10	18	619.042830159442	
18553	9	4	181.174729439046	
19105	3	25	817.244056769295	
13082	4	19	644.623191656835	
10572	1	35	1131.08415842572	
15447	4	9	333.310312560438	
27057	1	18	604.680689184312	
14494	1	18	613.653000059376	
8871	4	28	920.198107156995	
9879	4	49	1564.50753083662	
10197	5	26	847.713374294207	
15682	9	1	108.68313157404	
15494	4	29	935.646479900762	
18423	6	14	504.215140875529	
15689	4	31	998.283774423545	
24882	4	50	1570.14751343529	
14591	3	33	1055.1442527469	
20175	2	36	1163.85150624618	
11654	7	30	976.850146770873	
14826	6	46	1456.40619889666	
17113	8	8	307.851249756222	
20801	8	25	809.807407748796	
23142	9	5	231.835664842201	
28035	8	18	617.103046242661	
25014	10	37	1183.2959430587	
28145	9	46	1451.46254651782	
21240	10	11	401.119092032834	
19504	6	1	99.593772375767	
9501	10	18	615.618635143907	
12296	5	39	1236.58924760138	
16239	1	2	123.845492994341	
20350	1	41	1324.54508083153	
16557	9	21	707.643576519398	
24022	9	35	1130.93593482437	
11352	9	25	839.406606238059	
26409	3	1	95.4440968928133	
12354	7	36	1173.25437075144	
12771	7	13	449.302777335654	
22709	4	22	735.530120104332	
16413	4	45	1419.1048819847	
26053	5	16	556.847580483578	
20883	5	7	274.437213630619	
20757	5	37	1195.83895399973	
27519	4	1	92.5496904982951	
21460	2	19	631.00546564488	
27734	9	29	961.020881422339	
15895	4	2	125.121251626462	
16129	3	8	294.601043786202	
29183	9	7	292.214241983469	
13347	4	12	428.634902848226	
20516	10	28	927.068986989124	
22273	5	3	141.777510858037	
18382	7	42	1327.39646965982	
27359	9	49	1567.10663596499	
18737	10	15	523.105285560296	
11058	4	44	1409.23542241065	
28694	3	49	1549.33906459684	
11292	3	7	280.141010526633	
15794	3	33	1061.32724859814	
18287	2	40	1279.6216119079	
18796	3	48	1532.1912205276	
11130	4	17	585.086916808545	
26693	10	50	1598.03436491547	
11622	5	40	1283.60885955561	
26542	1	48	1520.66203784228	
22349	1	35	1123.16829346268	
25521	8	31	1001.03955505464	
26224	7	44	1404.71054507639	
25300	4	39	1264.80853463747	
9767	1	30	982.839677530732	
28609	6	14	476.893142683847	
25783	1	20	685.841475411244	
22407	9	15	508.321386141852	
11855	2	36	1157.74526478618	
25682	4	30	979.558618413079	
12982	6	2	113.414036125603	
26860	3	38	1213.96845374907	
26295	4	5	219.285974343906	
26248	10	50	1586.09758059778	
23228	2	8	302.27506163636	
21016	8	44	1406.34129489136	
23317	5	4	186.518048246632	
14556	2	44	1407.3795303923	
22079	5	7	266.983732295681	
18313	6	11	389.520260612257	
17141	2	50	1582.0679821363	
26786	5	50	1597.14861117171	
9691	2	22	740.536940554407	
8470	2	20	687.830649264078	
29288	8	32	1030.17118382741	
15289	4	3	146.105032295969	
26101	9	30	973.11336022481	
27321	6	30	987.975528737519	
9409	7	33	1055.90850819643	
29871	9	47	1486.91366145709	
21980	10	50	1571.76066367503	
18016	7	7	276.40284871515	
20804	9	48	1512.23009444411	
24785	10	4	171.887652656011	
19012	3	34	1107.8371721822	
10280	1	49	1559.9813263677	
26276	3	8	320.410706550074	
14336	2	19	629.792509148732	
14070	6	28	909.374564452737	
25320	4	49	1551.74176016438	
23967	10	8	321.22751157788	
22309	8	38	1233.45612471619	
26466	9	6	249.651204873645	
17907	4	20	667.548017551912	
11355	7	14	489.691249434692	
17778	1	7	275.266968661578	
13240	3	44	1410.05309025294	
13982	5	8	294.043429928852	
21012	6	25	839.052186961776	
26816	9	46	1473.28031701654	
10978	3	45	1425.67317228097	
11942	5	23	777.707386416247	
15030	8	44	1411.05063261979	
14965	6	30	974.088598943357	
24222	1	48	1538.59405570598	
25679	6	35	1126.01968229097	
24302	2	9	340.502614500235	
22892	5	24	796.87989581231	
