idEmpleado	idDepartamento	ventas	importe	
29219	4	15	519.777948725865	
17283	3	25	814.519531398322	
19146	9	4	175.788095079264	
29771	8	7	274.603524484953	
8729	1	43	1372.97435328969	
11353	7	33	1076.75187943352	
24977	8	16	556.414485832869	
16712	1	49	1555.64671130648	
9031	2	25	833.475070909353	
11551	10	8	305.809201442548	
24796	10	18	602.934126873936	
19975	10	45	1421.96962851191	
22216	3	46	1473.19660065379	
23896	2	11	386.737385199749	
8504	2	33	1055.63790862245	
20209	5	36	1173.3835168804	
22705	7	34	1110.54105512357	
24177	7	43	1373.15020252632	
12704	8	34	1100.64709487401	
24306	5	42	1340.84615423383	
9290	1	20	666.548892532731	
21643	6	10	370.666051903118	
20540	10	4	187.732011241714	
19197	8	7	271.811554483982	
25256	7	6	256.391756542209	
11328	8	31	993.706528001328	
12335	9	2	137.191535782624	
9841	8	39	1248.06643562767	
9022	6	35	1133.65228929261	
15093	4	18	619.984595356502	
16305	5	3	148.397024305722	
13501	6	46	1461.40156281246	
25034	10	25	837.813759389247	
16975	6	4	178.967630164217	
19770	8	16	565.708993154442	
15695	7	43	1362.70742006726	
24622	7	25	811.584595372707	
25792	8	10	382.662597625825	
21690	1	37	1185.14077349805	
12905	4	31	1008.65178717703	
16634	6	2	122.750993353664	
11646	5	10	369.213206790953	
26170	10	19	643.643551098017	
28521	5	20	659.020295375502	
8643	1	50	1588.47477111429	
20941	4	3	146.601041623671	
23064	2	25	829.188940501394	
9088	7	30	987.78012142879	
11637	4	42	1332.19227852868	
27224	1	18	621.920261262879	
11531	6	49	1569.08194816163	
19677	7	37	1190.01197494101	
29071	1	31	999.822709876961	
17730	1	34	1097.18505280893	
24397	6	19	645.078632424156	
9218	7	5	229.111896822747	
9635	5	21	706.787520156609	
12528	3	47	1503.97654059528	
17434	6	1	98.2117679427433	
9269	10	13	459.267825288357	
8219	4	31	1019.5603436509	
10079	9	28	908.348050205199	
29708	4	14	501.994422013869	
8275	5	8	293.490475552851	
26673	9	6	237.412177136825	
29443	1	22	741.532564061476	
9704	1	20	664.155869122667	
20893	1	43	1374.22897048957	
12167	3	45	1421.02839204531	
26620	3	40	1292.93048855519	
15990	1	12	441.79892150769	
27094	6	24	807.878457497749	
29907	6	7	268.009429028262	
12229	10	4	171.995307696981	
16931	7	41	1298.09516088017	
16709	6	10	377.335685741778	
12108	10	42	1327.0225008051	
13621	9	35	1128.71171586621	
21951	7	7	283.336783369694	
25365	9	4	189.790714918538	
18596	9	6	244.517587499934	
