idEmpleado	idDepartamento	ventas	importe	
24307	2	11	392.651564438199	
13353	3	45	1420.65586003505	
8085	5	38	1222.62911659788	
21867	8	47	1487.65059138073	
11637	4	17	589.617224423968	
27022	9	37	1190.14057110536	
13940	10	41	1317.67443599071	
29055	2	42	1351.70098404945	
26712	6	50	1574.47706061158	
11090	1	40	1270.5203629986	
20464	8	21	694.895718980066	
9535	9	45	1443.10859121527	
10331	10	34	1096.47856133826	
8289	4	17	595.830372067089	
22160	3	13	446.064720920317	
15033	8	49	1542.17439537038	
12578	10	32	1035.36116443358	
16412	3	14	486.346812735473	
18501	6	11	402.272469737694	
29374	6	28	915.519978681356	
27404	5	37	1193.93702491836	
18355	2	6	255.963493369503	
8142	4	43	1360.89544877452	
25371	4	46	1477.46780345098	
12239	8	23	757.810940275812	
11919	2	27	887.322405691874	
27321	6	42	1356.49038445041	
10350	1	45	1441.80449489588	
29006	1	20	677.042521590852	
23412	2	12	443.43097085293	
10581	9	7	286.87564848311	
16373	8	3	162.632476651404	
9319	4	34	1107.48528472496	
29006	1	8	312.952332158085	
27274	1	15	515.996917987241	
17448	10	7	281.634521168486	
12692	10	39	1235.25243369641	
25325	4	44	1399.61308026668	
22633	7	2	140.568857817244	
18283	2	20	661.809875118458	
22216	3	26	869.450527201151	
25830	6	47	1507.69090882861	
19214	3	40	1270.32528977391	
29436	7	38	1215.1836865466	
23807	1	30	986.912798931316	
21601	9	8	297.513989721199	
24897	4	17	566.686980988219	
15053	3	14	479.316790699641	
10226	9	34	1105.36787993525	
21399	9	36	1148.52846173035	
29330	10	40	1293.62367895135	
12527	10	49	1543.99911494181	
28837	7	26	849.865157180403	
16049	3	14	491.323959869949	
13808	7	18	598.298297542286	
12645	6	5	216.688071068697	
25172	8	2	139.760411260538	
22765	8	42	1345.16131314689	
17014	1	25	809.839651104919	
12389	5	41	1302.29481873209	
19955	6	45	1433.65018665495	
8032	9	46	1475.86994109483	
12508	4	23	754.658462458597	
8057	10	38	1211.04608975865	
16005	5	33	1063.64471451549	
8017	9	18	612.263242328662	
10353	2	12	415.623306490305	
11395	3	26	863.526229180175	
25733	10	3	159.833454079848	
29147	7	6	244.430199751831	
23409	9	11	386.921961673965	
29720	5	39	1235.7480841669	
19214	3	12	425.777954918229	
21678	7	42	1340.46259461924	
26711	10	2	126.069451480205	
11091	3	40	1286.24611608975	
9813	1	17	585.638203595596	
23900	6	5	225.711762227915	
25018	2	17	570.555004519669	
26326	9	16	540.296950554613	
28520	7	11	400.635424703655	
28938	2	29	957.17359375077	
21886	3	12	416.436614960635	
20419	10	35	1128.5140598605	
20326	6	23	749.807291901581	
17245	9	9	342.876533541305	
11092	8	28	912.767319471001	
18996	7	21	696.161324855015	
17911	8	41	1314.6540346158	
27648	7	10	379.308846918544	
29794	4	5	221.874109907948	
26984	9	47	1490.09112054952	
20757	5	20	669.773429161763	
17238	9	12	438.274039085151	
22202	10	25	828.159688463509	
27164	6	31	993.580586106321	
18122	4	25	833.03244637001	
23569	2	2	139.279200015254	
19064	5	5	231.53897203111	
29624	3	13	454.649556602654	
21154	3	47	1481.89068323089	
24358	3	41	1303.16075180804	
25014	10	11	399.483336619792	
29012	5	29	940.937680183415	
20340	6	26	841.606500056389	
26280	6	2	137.875594784448	
19470	6	37	1198.22116002358	
23832	7	34	1109.40256256117	
