idEmpleado	Sueldo básico	
8527	8207.96726281194	
12250	9544.60695457859	
28715	15541.5614356946	
14004	10180.8500933372	
25908	14543.0606522332	
21875	13077.1174528995	
28905	15600.4230899738	
25832	14508.5211240261	
26797	14863.0453454624	
24343	13987.8123616743	
17484	11467.3203730338	
25475	14394.2188687596	
22045	13135.298947401	
27826	15226.580120263	
26149	14629.1681260938	
22632	13362.4594311055	
28265	15374.8916980694	
10741	8989.89507229528	
12044	9463.28258582544	
18675	11887.0308193783	
28168	15342.7304436186	
11573	9276.64290055476	
21075	12774.1316094874	
29503	15803.797408847	
28583	15501.5882586602	
22607	13353.5703706339	
10808	9015.9504269324	
26173	14644.4161527997	
22991	13501.8554094722	
28285	15383.2972344865	
18253	11744.2353124471	
22734	13406.0190158924	
15066	10582.7311699198	
18784	11922.986643353	
12847	9766.57899178871	
17662	11538.3712032523	
21139	12806.9593668016	
19037	12019.4371473135	
12779	9747.50456295326	
29382	15752.1173058786	
17488	11472.8938282807	
16235	11018.0794200944	
9418	8518.39121827781	
15545	10761.7414122269	
28063	15312.8891174276	
20530	12565.6175224882	
25988	14581.9459886206	
27522	15121.2216537079	
28796	15563.0037931553	
28121	15334.7405788185	
21686	13002.8952085427	
21285	12858.8319070911	
12677	9708.716922304	
15686	10812.0409747642	
11284	9179.77324183088	
26963	14931.3243622572	
21051	12770.4753450912	
29347	15737.7640268476	
15329	10679.261834677	
11305	9189.49028159934	
19159	12061.1670259671	
10649	8956.00693717413	
10782	9006.66571455387	
28523	15479.748110976	
14154	10243.5770492272	
24516	14061.3013571414	
18457	11811.4876988397	
11374	9212.31230404801	
22884	13460.0011284743	
16449	11090.7969228415	
9543	8555.50006430387	
17167	11355.4545507559	
27854	15242.390509342	
12688	9711.16527994683	
9083	8414.13699109766	
19917	12324.6510235242	
10105	8758.25168227695	
13509	10012.3901972605	
9341	8490.90829141946	
16013	10935.970736172	
26536	14771.6243820133	
13208	9894.72877322451	
27416	15081.4123596444	
24834	14167.1148306537	
14547	10380.4020259438	
26845	14885.4034053559	
18136	11697.3020935884	
29427	15770.6901951557	
15495	10743.2134015221	
15765	10835.2546295315	
26524	14767.8958581611	
21845	13069.1953399541	
11734	9340.1753126365	
9551	8558.01428135392	
18111	11690.9502799115	
14898	10516.8868911066	
13500	10011.4137055405	
10871	9038.64310730186	
9411	8518.16436299969	
11502	9251.58776028621	
10088	8754.12982364843	
22663	13369.6336845726	
12556	9661.22052523364	
20319	12472.2068703138	
26557	14779.2405145146	
12517	9647.44065778676	
23338	13616.4413977491	
29995	15997.5516423572	
14581	10397.9039836665	
21290	12855.1222183067	
24856	14173.0726799802	
15548	10758.0851478307	
27870	15246.8557354281	
29358	15743.2910985049	
14619	10417.8658995861	
13972	10166.4382527426	
13165	9874.59457752974	
15799	10839.5508839002	
21936	13099.3460850321	
17190	11358.1736438713	
14505	10363.9992635529	
19109	12040.7975036841	
25687	14469.0989025259	
15191	10624.7464989427	
19919	12322.9010646804	
17541	11486.3047243498	
13514	10015.2792381194	
26273	14684.3762279881	
24407	14020.2150000353	
24083	13897.2500999911	
14347	10313.2373179836	
29293	15719.6085749751	
12119	9494.2258342608	
27850	15239.3205311332	
14000	10181.8409125236	
11883	9401.99069744069	
8595	8233.50824799086	
15145	10609.2054893306	
28305	15387.8743161391	
10033	8732.96136815704	
11543	9268.96200760685	
18160	11699.7504512313	
22668	13372.7862114891	
24065	13888.0911832154	
20787	12662.1819495513	
19029	12009.8107103304	
23862	13822.339604526	
12382	9596.88421413157	
24756	14140.1483817679	
12194	9524.51202716888	
9775	8642.29231357681	
27667	15171.8628216404	
18849	11939.2970222697	
22126	13159.9907191284	
26855	14887.5884967333	
20918	12713.3323199643	
26890	14900.5347820467	
27285	15036.4740262909	
8378	8149.30580563345	
16999	11292.9357901648	
28988	15632.1614196674	
26964	14932.065169761	
13418	9977.33664232182	
20392	12500.6538836754	
14978	10541.8849003231	
25636	14453.4641050051	
11527	9263.8593135699	
8023	8007.53520429485	
23165	13561.4501859813	
10803	9015.87520214537	
13312	9932.93000475174	
27944	15265.3890881992	
17441	11451.6765677611	
20041	12366.3847168751	
13743	10089.2116362644	
26216	14664.2488123217	
26230	14668.011292195	
9610	8581.00771931047	
24262	13962.5645493914	
8810	8313.09035434997	
23442	13663.9651198238	
9095	8418.39502398781	
9509	8544.22784622024	
20379	12495.7029728665	
22350	13254.9577864143	
16606	11141.3744963433	
18386	11780.3115527054	
19949	12334.2351151324	
8903	8351.73203439998	
22909	13468.5085925593	
14873	10501.455915394	
11332	9197.03422169994	
14736	10459.8996836971	
19268	12094.9385259743	
11055	9100.79994848967	
14433	10336.8968378459	
12720	9722.41380890944	
10438	8872.13232781372	
17165	11346.2062828924	
24963	14208.7178445462	
15535	10745.9513967605	
23849	13814.8044002311	
19099	12035.4340281503	
22027	13124.2731796225	
28882	15591.5820224171	
11824	9376.90322537762	
18205	11720.1862538793	
28819	15572.9123053946	
16417	11070.779082864	
8569	8223.33968441158	
24478	14045.3210277694	
25247	14319.5270627362	
10979	9073.9094768995	
29583	15836.2154512835	
23363	13628.970670341	
27795	15213.7663956796	
25437	14387.8373235407	
22946	13481.6336694554	
27871	15245.6960972611	
28341	15400.5104039798	
15342	10673.1525522997	
21484	12929.6241984375	
29069	15655.8031698949	
8238	8092.94159342206	
25829	14514.4192867514	
10049	8735.8957830518	
21138	12805.4894045021	
28214	15356.7380417868	
16928	11265.5847683854	
29385	15752.3147984186	
21515	12941.8350034123	
23790	13795.8789643812	
22297	13234.8014364181	
29390	15753.8467048452	
23176	13567.1389575895	
29623	15849.1607195927	
20077	12382.9609958376	
17358	11419.9546665977	
21410	12904.1209504493	
18645	11878.0545610367	
28380	15421.1882424639	
19581	12207.3992473108	
11536	9263.45603226845	
8340	8128.3923499884	
28389	15423.1875647899	
19513	12181.9288526578	
8321	8123.12474480044	
15182	10623.6842324136	
25669	14465.9678556332	
13187	9887.0335528101	
18863	11949.0595143051	
19687	12240.7801394541	
12466	9626.43623055259	
18851	11945.6958789126	
17659	11535.5652922464	
23843	13816.327198323	
24803	14159.0012303363	
18839	11942.4924347282	
26067	14609.8538928711	
26745	14855.6862393653	
20541	12571.4138208755	
20024	12363.4482120925	
19847	12307.3275370092	
17049	11318.4642844454	
16949	11281.5046809993	
8644	8249.44206338815	
11000	9084.72562631812	
11696	9320.06277205425	
14234	10269.076493694	
23758	13779.8099507484	
15762	10830.805399842	
16117	10967.882656943	
9604	8577.51271900605	
17212	11367.6415362245	
29957	15979.3221615159	
25671	14465.753304989	
18009	11666.168166169	
28672	15527.4108199065	
9855	8669.75402863219	
14405	10332.4904340936	
9701	8612.77103825136	
13996	10181.8051720885	
10478	8890.7701861536	
11834	9378.55121557533	
18451	11803.2552841135	
9945	8701.05486395818	
19496	12169.4427338287	
11618	9289.10555750556	
19646	12218.2814125988	
29379	15750.8117592664	
12650	9690.1594892564	
9182	8440.46856110937	
21165	12810.1007737266	
24482	14048.434711084	
28038	15306.6407401611	
16349	11057.7400303715	
29755	15900.0717103016	
24212	13944.9917478231	
21266	12846.8876689891	
27658	15173.7455014017	
16484	11097.2032263396	
26615	14803.0619727462	
8917	8354.60773871961	
9913	8686.15790488485	
27332	15056.2281529681	
10712	8981.17685736212	
18005	11663.267420448	
25085	14258.7946943281	
18912	11966.3737173967	
21849	13069.8119872575	
13910	10150.159032154	
26141	14631.5904104298	
16938	11272.738406096	
19790	12277.3634587775	
25050	14242.915201114	
14565	10389.6086487871	
17500	11472.6780259389	
15996	10928.7763214338	
28623	15515.2090003319	
15064	10580.4498170411	
19238	12079.9993295595	
29490	15795.6200688126	
21940	13101.7813594554	
14907	10518.2647344276	
19258	12089.650461492	
14563	10390.3368387326	
24795	14157.7818832164	
14935	10529.0780079221	
19173	12061.0007960633	
21468	12921.5821311444	
25938	14565.6815946874	
23590	13721.176418346	
15346	10680.5231509174	
12129	9496.00852723048	
27829	15235.287207754	
12942	9809.70906550517	
12993	9827.19743336886	
8509	8204.61228126875	
14362	10322.3230626072	
15733	10822.0784267513	
21782	13037.7874435102	
24115	13910.6480395005	
22522	13322.7318401089	
27585	15148.4694253413	
23286	13600.6527271125	
16348	11058.5690788266	
22145	13167.7301550134	
9459	8532.73731494916	
29515	15805.51950997	
21452	12917.0320913741	
28849	15585.0620044326	
21606	12971.2953888678	
25569	14429.7827474912	
14197	10266.4378519479	
16474	11093.7461718422	
17018	11301.5831575271	
12661	9701.28061329074	
23905	13836.343004292	
20614	12596.5074433929	
20793	12665.8913142355	
15729	10823.3949741458	
11160	9134.18941252594	
14031	10197.7938982648	
27294	15044.7915862523	
25787	14504.1303925701	
20212	12428.982613808	
18870	11951.0672595124	
12869	9776.72987886552	
21792	13042.0762510235	
20221	12433.2061356088	
9556	8562.41121541821	
16922	11268.0657446701	
9672	8606.45325882661	
20880	12693.1305735806	
23112	13542.662373531	
24850	14169.351290059	
14752	10472.8882287037	
24244	13953.3119341141	
21454	12917.6120073151	
10845	9031.08138266536	
22282	13222.6066837193	
23351	13625.0445682672	
15455	10723.5584979521	
27567	15143.9687046893	
22561	13336.5201267118	
12356	9594.38620581962	
28002	15291.3936708548	
9075	8414.08529896945	
25484	14402.2623553883	
18814	11933.7040502269	
8270	8108.42845221443	
18964	11990.8544290768	
17848	11608.1048378759	
23423	13656.4317483718	
29996	15998.6834526056	
18715	11903.5980309842	
18169	11712.8541412357	
25140	14277.9402538566	
9791	8644.33903277122	
11258	9171.67011330448	
27484	15107.5018193142	
17255	11391.0002761479	
17540	11490.6610639257	
17219	11372.3133743612	
20007	12354.6208759558	
19895	12316.9962597624	
20043	12364.8421300411	
12739	9736.65217391059	
20955	12723.7754784169	
21476	12924.3948817832	
10332	8828.69492882336	
18263	11747.9686791766	
10543	8918.73099697695	
17736	11565.4260607275	
28443	15443.2846305162	
22232	13198.3504058786	
25518	14410.6309145739	
16326	11053.8251935755	
12671	9708.27145954048	
21437	12909.7441867505	
22058	13137.5889429532	
17652	11536.981960543	
17218	11374.4675234773	
11071	9108.37220079655	
19927	12324.7776833944	
20552	12571.5567863414	
